BSS00016	SMC3	FINAL_SMC3_BSS00016.sub_VS_FINAL_WCE_BSS00016.pval.signal.bedgraph.gz
BSS00017	EP300	FINAL_EP300_BSS00017.sub_VS_FINAL_WCE_BSS00017.pval.signal.bedgraph.gz
BSS00017	H3K27ac	FINAL_H3K27ac_BSS00017.sub_VS_FINAL_WCE_BSS00017.pval.signal.bedgraph.gz
BSS00018	ATAC-seq	FINAL_ATAC-seq_BSS00018.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00018	CTCF	FINAL_CTCF_BSS00018.sub_VS_FINAL_WCE_BSS00018.pval.signal.bedgraph.gz
BSS00018	DNase-seq	FINAL_DNase-seq_BSS00018.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00018	EP300	FINAL_EP300_BSS00018.sub_VS_FINAL_WCE_BSS00018.pval.signal.bedgraph.gz
BSS00018	H3K27ac	FINAL_H3K27ac_BSS00018.sub_VS_FINAL_WCE_BSS00018.pval.signal.bedgraph.gz
BSS00018	H3K4me1	FINAL_H3K4me1_BSS00018.sub_VS_FINAL_WCE_BSS00018.pval.signal.bedgraph.gz
BSS00018	H3K4me2	FINAL_H3K4me2_BSS00018.sub_VS_FINAL_WCE_BSS00018.pval.signal.bedgraph.gz
BSS00018	H3K4me3	FINAL_H3K4me3_BSS00018.sub_VS_FINAL_WCE_BSS00018.pval.signal.bedgraph.gz
BSS00018	H3K9me3	FINAL_H3K9me3_BSS00018.sub_VS_FINAL_WCE_BSS00018.pval.signal.bedgraph.gz
BSS00018	RAD21	FINAL_RAD21_BSS00018.sub_VS_FINAL_WCE_BSS00018.pval.signal.bedgraph.gz
BSS00018	SMC3	FINAL_SMC3_BSS00018.sub_VS_FINAL_WCE_BSS00018.pval.signal.bedgraph.gz
BSS00019	EP300	FINAL_EP300_BSS00019.sub_VS_FINAL_WCE_BSS00019.pval.signal.bedgraph.gz
BSS00019	H3K27ac	FINAL_H3K27ac_BSS00019.sub_VS_FINAL_WCE_BSS00019.pval.signal.bedgraph.gz
BSS00020	CTCF	FINAL_CTCF_BSS00020.sub_VS_FINAL_WCE_BSS00020.pval.signal.bedgraph.gz
BSS00020	DNase-seq	FINAL_DNase-seq_BSS00020.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00020	EP300	FINAL_EP300_BSS00020.sub_VS_FINAL_WCE_BSS00020.pval.signal.bedgraph.gz
BSS00020	H3K27ac	FINAL_H3K27ac_BSS00020.sub_VS_FINAL_WCE_BSS00020.pval.signal.bedgraph.gz
BSS00020	H3K4me1	FINAL_H3K4me1_BSS00020.sub_VS_FINAL_WCE_BSS00020.pval.signal.bedgraph.gz
